,Infrastructure Security,Software & Platform Security,Attacks & Defences,Systems Security,Human Organisational & Regulatory Aspects,source
EY,0.063,0.163,0.085,0.52,0.169,dictionary + certification anchors; blend and mix calibrated to reported firm gaps
KPMG,0.08,0.166,0.095,0.48,0.179,dictionary + certification anchors; blend and mix calibrated to reported firm gaps
PwC,0.067,0.164,0.086,0.51,0.172,dictionary + certification anchors; blend and mix calibrated to reported firm gaps
Deloitte,0.094,0.154,0.147,0.439,0.166,dictionary + certification anchors; blend and mix calibrated to reported firm gaps
